Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,1235.599976,1241.474976,1225.000000,1227.224976,1143.520142,732764
2017-09-12,1236.949951,1248.500000,1228.500000,1244.224976,1159.360596,1396460
2017-09-13,1250.000000,1265.824951,1237.599976,1244.599976,1159.709961,1278980
2017-09-14,1241.000000,1248.800049,1235.949951,1243.474976,1158.661621,1081510
2017-09-15,1249.500000,1258.500000,1242.500000,1253.025024,1167.560425,2944072
2017-09-18,1252.474976,1259.474976,1244.625000,1249.525024,1164.299194,726600
2017-09-19,1252.500000,1252.500000,1245.750000,1249.125000,1163.926270,782754
2017-09-20,1257.000000,1257.000000,1237.150024,1246.775024,1161.736938,1334642
2017-09-21,1245.525024,1270.500000,1240.000000,1262.449951,1176.342651,2438740
2017-09-22,1259.949951,1263.449951,1246.000000,1251.800049,1166.418823,2435396
2017-09-25,1248.275024,1267.000000,1246.375000,1255.375000,1169.750244,1599558
2017-09-26,1255.000000,1263.199951,1233.000000,1237.324951,1152.931152,1449230
2017-09-27,1245.000000,1256.099976,1236.875000,1247.500000,1162.412109,2010356
2017-09-28,1247.349976,1257.000000,1226.000000,1238.224976,1153.769653,4332866
2017-09-29,1239.500000,1242.000000,1210.750000,1217.974976,1134.901001,1985014
2017-10-03,1220.000000,1227.150024,1213.525024,1224.224976,1140.724731,1923006
2017-10-04,1224.800049,1227.000000,1212.500000,1221.150024,1137.859497,1300778
2017-10-05,1220.500000,1221.724976,1212.199951,1214.800049,1131.942749,1684686
2017-10-06,1215.000000,1227.500000,1214.025024,1223.324951,1139.886108,1389188
2017-10-09,1220.525024,1233.974976,1220.525024,1227.050049,1143.357056,1773616
2017-10-10,1227.500000,1234.974976,1225.625000,1229.625000,1145.756104,1222010
2017-10-11,1230.000000,1257.224976,1228.375000,1250.175049,1164.904541,1527746
2017-10-12,1256.500000,1277.500000,1253.500000,1274.099976,1187.197876,5006356
2017-10-13,1274.099976,1304.474976,1261.500000,1279.300049,1192.043091,4066320
2017-10-16,1277.525024,1295.000000,1277.525024,1292.199951,1204.063477,1218590
2017-10-17,1292.500000,1307.474976,1288.775024,1297.275024,1208.792236,1443016
2017-10-18,1297.500000,1306.824951,1290.000000,1293.300049,1205.088501,1514144
2017-10-19,1296.000000,1297.900024,1285.500000,1291.949951,1203.830322,86822
2017-10-23,1292.000000,1314.500000,1273.724976,1293.949951,1205.693970,1886088
2017-10-24,1310.000000,1310.449951,1284.525024,1289.199951,1201.267944,1339020
2017-10-25,1289.250000,1307.000000,1277.500000,1279.949951,1195.895264,1105106
2017-10-26,1267.550049,1284.574951,1258.949951,1269.425049,1186.062012,3007552
2017-10-27,1269.000000,1296.574951,1265.150024,1292.150024,1207.294678,1409270
2017-10-30,1293.000000,1310.000000,1290.849976,1308.099976,1222.196777,1137252
2017-10-31,1300.650024,1320.000000,1300.650024,1312.000000,1225.841187,1592634
2017-11-01,1312.000000,1313.425049,1289.425049,1301.425049,1215.960449,741882
2017-11-02,1304.250000,1337.000000,1303.375000,1313.074951,1226.845337,1468422
2017-11-03,1316.199951,1318.349976,1301.400024,1310.050049,1224.018921,666886
2017-11-06,1310.000000,1335.900024,1305.875000,1332.775024,1245.251465,1377000
2017-11-07,1335.000000,1384.000000,1333.025024,1355.025024,1266.040405,2696892
2017-11-08,1361.500000,1379.500000,1359.125000,1367.500000,1277.696045,1402252
2017-11-09,1375.000000,1375.000000,1359.650024,1368.199951,1278.350220,1152432
2017-11-10,1361.099976,1363.000000,1346.675049,1354.375000,1265.433105,1356566
2017-11-13,1351.025024,1388.699951,1351.025024,1379.474976,1288.884766,1496996
2017-11-14,1378.275024,1378.275024,1353.750000,1357.300049,1268.166016,1657252
2017-11-15,1353.000000,1377.500000,1350.675049,1352.650024,1263.821533,6670834
2017-11-16,1355.000000,1381.500000,1343.474976,1373.324951,1283.138550,1653482
2017-11-17,1374.050049,1374.050049,1351.800049,1353.650024,1264.755615,1325464
2017-11-20,1357.500000,1363.449951,1347.650024,1351.724976,1262.957275,1014498
2017-11-21,1350.500000,1350.500000,1333.000000,1336.474976,1248.708618,1527740
2017-11-22,1336.500000,1354.849976,1336.199951,1340.324951,1252.305786,1822624
2017-11-23,1340.500000,1346.500000,1334.500000,1340.625000,1252.586182,793470
2017-11-24,1341.000000,1351.449951,1336.550049,1344.025024,1255.762817,2287512
2017-11-27,1344.000000,1347.949951,1331.099976,1342.925049,1254.735107,1856786
2017-11-28,1343.000000,1351.199951,1335.000000,1342.650024,1254.478271,911716
2017-11-29,1338.750000,1346.500000,1325.000000,1329.074951,1241.794556,1447532
2017-11-30,1326.824951,1333.474976,1311.500000,1318.500000,1231.914307,4299962
2017-12-01,1317.500000,1334.000000,1310.750000,1314.974976,1228.620728,1031144
2017-12-04,1311.000000,1329.250000,1301.474976,1316.175049,1229.741943,1259104
2017-12-05,1315.500000,1325.849976,1314.074951,1317.775024,1231.236694,1167914
2017-12-06,1318.000000,1322.500000,1306.425049,1316.650024,1230.185303,1407518
2017-12-07,1316.150024,1322.974976,1307.500000,1308.625000,1222.687378,1326300
2017-12-08,1309.000000,1322.500000,1298.500000,1300.750000,1215.329468,1385548
2017-12-11,1304.175049,1336.324951,1304.175049,1330.550049,1243.172852,1008002
2017-12-12,1330.500000,1331.000000,1303.699951,1306.074951,1220.304810,1882246
2017-12-13,1305.699951,1325.724976,1300.500000,1314.199951,1227.896362,2961458
2017-12-14,1316.000000,1316.000000,1265.550049,1278.900024,1194.914673,5504150
2017-12-15,1281.875000,1292.224976,1268.425049,1272.800049,1189.215088,2718138
2017-12-18,1268.500000,1294.474976,1247.175049,1290.250000,1205.519165,2180664
2017-12-19,1288.000000,1298.900024,1282.349976,1287.650024,1203.090210,1801952
2017-12-20,1291.000000,1296.375000,1275.324951,1294.474976,1209.466797,1577570
2017-12-21,1293.500000,1304.000000,1290.025024,1297.849976,1212.619995,1293648
2017-12-22,1302.000000,1331.949951,1295.099976,1323.375000,1236.468872,3665664
2017-12-26,1343.000000,1344.875000,1315.800049,1324.724976,1237.730225,2175786
2017-12-27,1324.724976,1329.250000,1305.250000,1309.949951,1223.925415,739284
2017-12-28,1304.400024,1326.750000,1302.824951,1313.474976,1227.219116,2605088
2017-12-29,1311.550049,1354.449951,1309.275024,1350.599976,1261.906006,2609542
2018-01-01,1341.150024,1347.400024,1317.500000,1322.800049,1235.931763,1351760
2018-01-02,1330.000000,1334.800049,1310.099976,1315.599976,1229.204468,1920290
2018-01-03,1316.000000,1334.500000,1315.599976,1319.324951,1232.684570,1257120
2018-01-04,1325.000000,1331.000000,1320.000000,1328.550049,1241.304199,913082
2018-01-05,1325.000000,1349.750000,1325.000000,1344.599976,1256.299805,1153706
2018-01-08,1350.000000,1363.425049,1340.925049,1357.199951,1268.072510,1242220
2018-01-09,1357.500000,1360.500000,1338.275024,1354.500000,1265.549683,2149396
2018-01-10,1355.500000,1408.000000,1347.324951,1403.300049,1311.145142,3365850
2018-01-11,1405.000000,1410.949951,1391.099976,1395.250000,1303.623779,2520744
2018-01-12,1402.500000,1402.500000,1370.275024,1388.175049,1297.013306,3360314
2018-01-15,1388.574951,1404.000000,1367.525024,1373.050049,1282.881714,1457214
2018-01-16,1378.000000,1430.824951,1375.275024,1425.425049,1331.817139,4267752
2018-01-17,1435.000000,1462.500000,1431.074951,1444.474976,1349.616333,4280806
2018-01-18,1448.500000,1466.500000,1434.025024,1459.099976,1363.281128,2209478
2018-01-19,1465.275024,1491.000000,1451.824951,1479.650024,1382.481323,1820000
